key	display	category	descriptor	best_tier	in_sources	best_source	best_path	lines	has_front_matter	front_matter_keys	h2_count	table_rows	code_blocks	hex_count	never_count	always_count	non_negotiable_count
agentic	Agentic			stub	open-design	open-design	open-design/design-systems/agentic/DESIGN.md	72	false		9	0	0	13	0	0	0
airbnb	Airbnb	E-commerce & Retail	Travel marketplace. Warm coral accent, photography-driven, rounded UI	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/airbnb/DESIGN.md	546	true	version; name; description; colors; typography; rounded; spacing; components	8	26	0	52	3	1	0
airtable	Airtable	Design & Creative Tools	Spreadsheet-database hybrid. Colorful, friendly, structured data aesthetic	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/airtable/DESIGN.md	555	true	version; name; description; colors; typography; rounded; spacing; components	11	37	0	63	8	0	0
ant	Ant			stub	open-design	open-design	open-design/design-systems/ant/DESIGN.md	72	false		9	0	0	13	0	0	0
apple	Apple	Media & Consumer Tech	Consumer electronics. Premium white space, SF Pro, cinematic imagery	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/apple/DESIGN.md	563	true	version; name; description; colors; typography; rounded; spacing; components	11	43	0	52	8	3	1
application	Application			stub	open-design	open-design	open-design/design-systems/application/DESIGN.md	72	false		9	0	0	13	0	0	0
arc	Arc			inspired-by	open-design	open-design	open-design/design-systems/arc/DESIGN.md	160	false		7	10	0	20	0	0	0
artistic	Artistic			stub	open-design	open-design	open-design/design-systems/artistic/DESIGN.md	72	false		9	0	0	13	0	0	0
atelierzero	Atelier Zero			other	open-design	open-design	open-design/design-systems/atelier-zero/DESIGN.md	317	false		12	0	1	17	13	3	0
bento	Bento			stub	open-design	open-design	open-design/design-systems/bento/DESIGN.md	72	false		9	0	0	13	0	0	0
binance	Binance	Fintech & Crypto	Crypto exchange. Bold Binance Yellow on monochrome, trading-floor urgency	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/binance/DESIGN.md	635	true	version; name; description; colors; typography; rounded; spacing; components	11	39	0	60	8	7	0
bmw	BMW	Automotive	Luxury automotive. Dark premium surfaces, precise German engineering aesthetic	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/bmw/DESIGN.md	545	true	version; name; description; colors; typography; rounded; spacing; components	11	36	0	58	5	0	1
bmwm	BMW M	Automotive	Performance automotive. Motorsport-inspired contrast, M color accents, precision-driven layout	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/bmw-m/DESIGN.md	504	true	version; name; description; colors; typography; rounded; spacing; components	11	34	0	48	15	3	1
bold	Bold			stub	open-design	open-design	open-design/design-systems/bold/DESIGN.md	72	false		9	0	0	13	0	0	0
brutalism	Brutalism			stub	open-design	open-design	open-design/design-systems/brutalism/DESIGN.md	72	false		9	0	0	13	0	0	0
bugatti	Bugatti	Automotive	Luxury hypercar. Cinema-black canvas, monochrome austerity, monumental display type	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/bugatti/DESIGN.md	455	true	version; name; description; colors; typography; rounded; spacing; components	11	31	0	46	9	2	1
cafe	Cafe			stub	open-design	open-design	open-design/design-systems/cafe/DESIGN.md	72	false		9	0	0	13	0	0	0
cal	Cal.com	Productivity & SaaS	Open-source scheduling. Clean neutral UI, developer-oriented simplicity	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/cal/DESIGN.md	543	true	version; name; description; colors; typography; rounded; spacing; components	11	37	0	65	9	0	0
canva	Canva			inspired-by	open-design	open-design	open-design/design-systems/canva/DESIGN.md	165	false		7	11	0	47	2	0	0
cisco	Cisco			inspired-by	open-design	open-design	open-design/design-systems/cisco/DESIGN.md	202	false		9	10	0	39	1	0	0
claude	Claude	AI & LLM Platforms	Anthropic's AI assistant. Warm terracotta accent, clean editorial layout	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/claude/DESIGN.md	590	true	version; name; description; colors; typography; rounded; spacing; components	11	38	0	63	9	0	1
clay	Clay	Design & Creative Tools	Creative agency. Organic shapes, soft gradients, art-directed layout	site-analysis	voltagent; open-design	voltagent	awesome-design-md/design-md/clay/DESIGN.md	542	true	version; name; description; colors; typography; rounded; spacing; components	11	37	0	57	3	0	1
claymorphism	Claymorphism			stub	open-design	open-design	open-design/design-systems/claymorphism/DESIGN.md	72	false		9	0	0	13	0	0	0
