Term,Rule,Replace with (alt term),Style rule explanation,Examples,Related link,New/Updated,Style category,Glossary definition
".filename (dot-filename), article usage",Use,,"Treat the file as if it started with the word ""dot"". This means to always use ""a"" as the article, as in ""a .assistant.md file"", NOT ""an .assistant.md file"".",,,,"Databricks style,Industry standard terminology",
"above
below
(when referring to location of content in an article)",Avoid,"Use the following terms instead:
preceding
following
earlier
later","Don’t use ""above"" or ""below"" to refer to the location of content in an article. If you must refer to the location of content in an article, use the appropriate alternative term so that screen readers can interpret the information correct.",,,,"Databricks style,Inclusive language,Localization,Ableist language",
access control list (ACL),Use,,Lowercase when spelling out.,,,,Industry standard terminology,
account console,Use,,"Lowercase.

Exception: Match capitalization in UI when specifically referring to the UI.",,,,Databricks product/feature name,
account console,Use,,"Lowercase.

Exception: Match capitalization in UI when specifically referring to the UI.",,,,Databricks product/feature name,
account console,Use,,Two words and title case.,,,,Databricks product/feature name,
account console,Use,,One word and mixed case.,,,,Databricks product/feature name,
account console,Use,,Title case.,,,,Databricks product/feature name,
account console,Use,,Three words and title case.,,,,Databricks product/feature name,
account console,Use,,Three words and title case.,,,,Databricks product/feature name,
account console,Use,,"Three words and title case.
Different from AWS PrivateLink.",,,,Databricks product/feature name,
account console,Use,,Two words and title case.,,,,Databricks product/feature name,
account console,Use,,One word and mixed case.,,,,Databricks product/feature name,
account console,Use,,Three words and title case.,,,,Databricks product/feature name,
account console,Use,,Two words and lowercase.,,,,Databricks product/feature name,
account console,Use,,Two words and title case.,,,,Databricks product/feature name,
account console,Use,,Two words and lowercase.,,,,Databricks product/feature name,
account console,Use,,Two words and lowercase.,,,,Databricks product/feature name,
account console,Don't use,,Remove/rewrite. Avoid joining these terms,,,,"Databricks product/feature name,Legal",
account console,,,Two words and title case.,,,,Databricks product/feature name,
account console,Use,,Two words and title case. Use <DBR> (output = Databricks Runtime). Don’t abbreviate as DBR.,,,,Databricks product/feature name,
account console,Use,,Three words and title case.,,,,Databricks product/feature name,
account console,Use,,Title case.,,,,Databricks product/feature name,
account console,Use,,Two words and lowercase.,,,,Databricks product/feature name,
account console,Use,,One word and title case.,,,,Databricks product/feature name,
account console,Use,,Use title case in all instances (except code of course),,,,Databricks product/feature name,
account console,Use,,Title case. Use <DBR> for Machine Learning or <DBR> <version> ML.,,,,Databricks product/feature name,
account console,Use,,Lowercase.,,,,"Databricks product/feature name,UI terminology,UI element name",
account console,Don't use,Use the following feature names instead: Git folders (feature name) or Git folder (asset).,Don't use to refer to the deprecated Databricks Repos feature name.,,https://docs.google.com/document/d/1VbYeHf9SZvVkTpxBxmfxq-xST_Zyg-FdvSvrJZvuSh8/edit,Deprecated,"Databricks product/feature name,UI terminology,UI element name",
account console,Use,,"“Compute” is an uncountable noun, like “sand,” and we can’t use it as a singular noun. In other words, we can’t say “a compute” alone (or “the compute” when we’re referring to a single instance), but must use “a compute resource” or “the compute resource” when we’re referring to a single instance.",,,,"Databricks style,Databricks product/feature name",
account console,Don't use,account console,Do not use initial caps unless you are referring to a label in the UI.,,,,"Databricks style,Databricks product/feature name",
account console,Use,,"As of April 2023, use admin settings or the admin settings page to refer to the UI available to workspace admins, formerly the admin console. Do not use title case unless you are referring to a label in the UI.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,OK to use to refer to features that use AI.,,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Title case. Never prepend ""the"" to the name.","Correct: In Catalog Explorer, click +Add and select Add a storage credential.

Incorrect: In the Catalog Explorer, click +Add and select Add a storage credential.

Incorrect: In the catalog explorer, click +Add and select Add a storage credential.",,,"Databricks style,Databricks product/feature name",
account console,Use,,"Mixed case with lowercase ""dashboards""",,,,"Databricks style,Databricks product/feature name",
account console,Don't use,AI/BI dashboards,,,,,"Databricks style,Databricks product/feature name",
account console,Don't use,legacy dashboards,,,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Title case and one word ""Databricks.""

We refer to the product and product features as ""Databricks"" in the Databricks documentation for AWS and GCP, and ""Azure Databricks"" in the Azure Databricks documentation.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Use Databricks Asset Bundles (DABs) on first mention and bundles or bundle on subsequent mentions. Never use Databricks Asset Bundle, or the acronym DABs. If you need a singular form, use bundle.",,,,"Databricks style,Databricks product/feature name",
account console,Don't use,general knowledge,"From marketing: For clarity, use general knowledge instead of general intelligence to avoid confusion with a similar term: artificial general intelligence (AGI), which has not been achieved yet","Correct: This is what’s driving the shift from general knowledge to data intelligence. Your GenAI applications need to understand your enterprise data and the specifics of your domain and industry. And they need to produce high-quality outputs that are well-governed and continuously evaluated for accuracy.

Incorrect: This is what’s driving the shift from general intelligence to data intelligence. Your GenAI applications need to understand . . .

Correct: Enterprises need more than GenAI applications with general knowledge — they need GenAI that understands their specific data, products and context. Enter data intelligence.

Incorrect: Enterprises need more than GenAI applications with general intelligence — they need GenAI that understands their specific data, products and context. Enter data intelligence.",,,"Databricks style,Databricks product/feature name",
account console,Use,,"From marketing: For clarity, use general knowledge instead of general intelligence to avoid confusion with a similar term: artificial general intelligence (AGI), which has not been achieved yet","Correct: This is what’s driving the shift from general knowledge to data intelligence. Your GenAI applications need to understand your enterprise data and the specifics of your domain and industry. And they need to produce high-quality outputs that are well-governed and continuously evaluated for accuracy.

Incorrect: This is what’s driving the shift from general intelligence to data intelligence. Your GenAI applications need to understand . . .

Correct: Enterprises need more than GenAI applications with general knowledge — they need GenAI that understands their specific data, products and context. Enter data intelligence.

Incorrect: Enterprises need more than GenAI applications with general intelligence — they need GenAI that understands their specific data, products and context. Enter data intelligence.",,,"Databricks style,Databricks product/feature name",
account console,Use,,"Don't use the <Databricks> replaceable text entity for this because the built content will be incorrect--you must manually type ""Databricks"" in this instance.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Don't use the <Databricks> replaceable text entity for this because the built content will be incorrect--you must manually type ""Databricks"" in this instance.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Don't use the <Databricks> replaceable text entity for this because the built content will be incorrect--you must manually type ""Databricks"" in this instance.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Use ""Databricks File System (DBFS)"" on first mention and ""DBFS"" on subsequent mention.

Don't use the <Databricks> replaceable text entity for this because the built content will be incorrect--you must manually type ""Databricks"" in this instance.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Don't use the <Databricks> replaceable text entity for this because the built content will be incorrect--you must manually type ""Databricks"" in this instance.",,,,"Databricks style,Databricks product/feature name",
Databricks platform,Use,,"Use ""the Databricks platform"" (include article the and lowercase platform) in all instances. Do not use Lakehouse platform (legacy terminology).
Note: The marketing team’s style is uppercase the Databricks Platform.

Use ""on"" as prepositions with Databricks platform. Don't use ""in"" or ""with"".

Use the preposition ""on"" when referring to the Databricks platform (that is, general references like ""on Databricks"").

Use the preposition ""in"" when referring to the following:
Databricks environment

In articles that are specifically about the Databricks platform, use the ""Databricks Data Intelligence Platform"" on first instance. Use the ""Databricks platform"" (lowercase platform) in all other instances.

Note: The name ""Databricks Data Intelligence Platform"" isn't trademarked and we aren’t planning to trademark it in the future.

In articles that specifically reference the category, use ""a data intelligence platform"" (include article ""a"" and lowercase).

Don't use the <Databricks> replaceable text entity for this because the built content will be incorrect--you must manually type ""Databricks"" in this instance.","Correct: Extend the capabilities of the Databricks Data Intelligence Platform by…

Correct: Extend the capabilities of the Data Intelligence Platform by…

Correct: A data intelligence platform brings AI to your data so…

Correct: The Databricks Data Intelligence Platform is built on a lakehouse architecture.

Incorrect: The Databricks Data Intelligence Platform is built on a lakehouse platform.

Correct: Databricks platform, Databricks Data Intelligence Platform, Data Intelligence Platform, data intelligence platform (category), data lakehouse architecture, lakehouse architecture, lakehouse pattern, lakehouse paradigm, lakehouse, Data Intelligence Engine.

Incorrect: Data Platform, data platform, Data AI Platform, Data + AI Platform, data + AI platform, data and AI platform, Databricks Data Platform, Databricks Generative Data Platform (previously proposed name), DIP, DI Platform, Generative Data Platform, GDP, Lakehouse Platform, lakehouse platform. Intelligence Platform.",,,"Databricks style,Databricks product/feature name",
account console,Use,,"Don't use the <Databricks> replaceable text entity for this because the built content will be incorrect--you must manually type ""Databricks"" in this instance.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Don't use the <Databricks> replaceable text entity for this because the built content will be incorrect--you must manually type ""Databricks"" in this instance.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Don't use the <Databricks> replaceable text entity for this because the built content will be incorrect--you must manually type ""Databricks"" in this instance.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Use ""Databricks extension for Visual Studio Code"" on the first mention, then ""Databricks extension"" or ""extension"" on subsequent mentions.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"The basic style guideline for Databricks resources and tools is to use lowercase and include ""Databricks"" on first mention to differentiate it from third-party offerings. Follow standard grammar rules for the plural form.

Referring to UI text in the product?
Match the casing of the UI text and format the text as bold to indicate that it’s UI text.

For specific Databricks resources and tool names, search on the name in this database.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Lowercase ""workflows.""",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Lowercase ""cluster"" and OK to drop ""Databricks"" on subsequent mention.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Feature: Title case ""Jobs"" and OK to drop ""Databricks"" on subsequent mentions.

Resource: Lowercase ""jobs"" and OK to drop ""Databricks"" on subsequent mentions.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Lowercase ""notebook"" and OK to drop ""Databricks"" on subsequent mention.",,,,"Databricks style,Databricks product/feature name",
account console,Use,,"Lowercase ""widget"" and OK to drop ""Databricks"" on subsequent mention.",,,,"Databricks style,Databricks product/feature name",
