slug	category	cohort	lines	h1	h2_count	numbered_sections	table_rows	code_blocks	hex_count	oklch_count	never_count	always_count	non_negotiable_count	has_yaml_front_matter	has_manifest	has_tokens_css	has_usage_md	has_components_html	has_preview	visual_theme	color	typography	components	layout	depth	donts	responsive	agent_guide	motion	voice	accessibility	iconography	data_viz	h2_headings
agentic	Themed & Unique	other	72	Design System Inspired by Agentic	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
airbnb	E-Commerce & Retail	other	394	Design System Inspired by Airbnb	9	9	43	1	69	0	6	3	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
airtable	Design & Creative	dev-friendly	93	Design System Inspired by Airtable	9	9	12	0	20	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout | 6. Depth | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
ant	Professional & Corporate	other	72	Design System Inspired by Ant	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
apple	Media & Consumer	other	251	Design System Inspired by Apple	9	9	33	0	61	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
application	Professional & Corporate	other	72	Design System Inspired by Application	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
arc	Productivity & SaaS	dev-friendly	160	Design System Inspired by Arc Browser	7	7	10	0	20	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Spacing & Layout | 6. Motion | 7. Usage Guardrails
artistic	Creative & Artistic	other	72	Design System Inspired by Artistic	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
atelier-zero	Editorial · Studio	other	317	Atelier Zero	12	12	0	1	17	0	13	3	0	false	true	true	true	true	true	true	true	true	true	true	true	false	true	true	true	true	false	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns | 10. Responsive Behavior | 11. Imagery | 12. Agent Prompt Guide
bento	Layout & Structure	other	72	Design System Inspired by Bento	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
binance	Fintech & Crypto	other	349	Design System Inspired by Binance.US	9	9	57	0	81	0	0	1	0	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
bmw	Automotive	other	184	Design System Inspired by BMW	9	9	24	0	22	0	3	2	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
bmw-m	Automotive	other	247	Design System Inspired by BMW M	9	9	27	0	27	0	11	2	1	false	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color Palette & Roles | 3. Typography Rules | 4. Component Stylings | 5. Layout Principles | 6. Depth & Elevation | 7. Do's and Don'ts | 8. Responsive Behavior | 9. Agent Prompt Guide
bold	Bold & Expressive	other	72	Design System Inspired by Bold	9	9	0	0	13	0	0	0	0	false	true	true	true	true	true	true	true	true	true	true	true	false	false	false	true	true	true	false	false	1. Visual Theme & Atmosphere | 2. Color | 3. Typography | 4. Spacing & Grid | 5. Layout & Composition | 6. Components | 7. Motion & Interaction | 8. Voice & Brand | 9. Anti-patterns
